feature species hmin hmid hmax fmin fmid fmax ymin ymax skew
zf_shared PICPU 0.457846861994023 0.466250221259937 0.478203288260916 0.467518819586366 0.47904452510916 0.490194370208669 0 1 1.0566034680689
zf_shared MERNU 0.48667354538183 0.499849765972274 0.510185888583184 0.426719467066156 0.435920049400911 0.447509785088393 1 2 1.05374804612989
zf_shared BUCRH 0.508870754525381 0.519147632619339 0.5274621441337 0.463395131263989 0.471793182871446 0.487056039666116 2 3 1.06528355942443
zf_shared APAVI 0.467646508948785 0.477424795346852 0.48445768709684 0.410368372327523 0.417268140696646 0.425035343257597 3 4 1.03956225427162
zf_shared LEPDI 0.503232797154705 0.515110318697367 0.524520787754209 0.441445255100733 0.451080615394912 0.470613706585455 4 5 1.07893834806702
zf_shared COLST 0.385338469984196 0.393093042613682 0.400439523742245 0.357500318350834 0.365563039144902 0.375533421128426 5 6 1.04851626722983
zf_shared TYTAL 0.435949010958918 0.444159949726244 0.453837618556722 0.364227816650322 0.372250018877309 0.384683715894896 6 7 1.05750870202769
zf_shared HALAL 0.477786341650144 0.506896487793944 0.535285353518268 0.430340546578707 0.461614813304535 0.493127761340471 7 8 1.14157090864676
zf_shared HALLE 0.576376755388758 0.596678864271626 0.619006251345283 0.42767120231398 0.466460278492661 0.506886385889238 8 9 1.1777394171584
zf_shared CATAU 0.433602924328084 0.441243981632111 0.447783207534675 0.420157489013398 0.428115789833403 0.438111035202258 9 10 1.04501945461317
zf_shared GEOFO 0.50508781932519 0.510872519105556 0.518169662846072 0.425396029899079 0.432564974662657 0.441590456269868 10 11 1.04025297490362
zf_shared TAEGU 0.51365433779931 0.519017049570153 0.525571633067586 0.348001280492573 0.353535157650955 0.36138505772656 11 12 1.03570585419435
zf_shared CORBR 0.465986280461995 0.473613024257985 0.480553567254569 0.434034177525184 0.440285182307032 0.446665282722047 12 13 1.0298035153092
zf_shared MANVI 0.409052873965501 0.416418791328348 0.423292458395926 0.363707455021086 0.370569514847738 0.377523342760523 13 14 1.03484931491594
zf_shared ACACH 0.456567093489062 0.463612059630627 0.471822780495187 0.408748285332024 0.416075684913335 0.424499221922421 14 15 1.0403972410362
zf_shared NESNO 0.448057992097915 0.456571483114834 0.46344580393298 0.412104094337626 0.419687244816528 0.428482737921106 15 16 1.04223123817524
zf_shared MELUN 0.389583808701872 0.396857900340113 0.403884090866678 0.367937890322986 0.375023123649293 0.382184800054364 16 17 1.03750117841309
zf_shared FALPE 0.526975853562135 0.534221587805217 0.54221359571422 0.419929815502821 0.426852527971688 0.435095630724644 17 18 1.03772849617081
zf_shared CARCR 0.47775777457721 0.48581463021193 0.494773349660421 0.434420010262971 0.442907001207596 0.456199626659829 18 19 1.05742078463113
zf_shared EGRGA 0.557343050411051 0.565975915344131 0.573356171959175 0.475640855808089 0.48400700090609 0.507189395600181 19 20 1.09601838642458
zf_shared PELCR 0.49709322071798 0.505800017380566 0.51509435388721 0.425404436049871 0.433613791130198 0.447023507060939 20 21 1.05794117623232
zf_shared NIPNI 0.512260271012161 0.523123283957737 0.531587444797626 0.436156657740247 0.4451261968734 0.461364111934481 21 22 1.06915270870685
zf_shared PHACA 0.460195584754464 0.471496203489587 0.480556074431651 0.415525082804064 0.423402715965098 0.435807870782969 22 23 1.05519683846339
zf_shared PYGAD 0.539009806418478 0.553716714989892 0.563802410651867 0.463587873070892 0.47422922692363 0.494092732671592 23 24 1.08381935243303
zf_shared APTFO 0.454609314159159 0.465013011769121 0.474257771972938 0.449491025775074 0.459078755556076 0.468923220701159 24 25 1.04930561795744
zf_shared FULGL 0.467475292573178 0.474812852298389 0.484403243822791 0.413457374344901 0.421493383514988 0.431374141431619 25 26 1.04712908595309
zf_shared GAVST 0.46297719844657 0.472032702838711 0.480178271343841 0.40568053072806 0.413631527051571 0.424503309544541 26 27 1.05167572195384
zf_shared PHALE 0.494663172065275 0.505684975760037 0.513899178817421 0.42087934969186 0.429361047407903 0.438960265290497 27 28 1.04863800593135
zf_shared EURHE 0.559238896933919 0.567429860040801 0.576188354637702 0.479932983536376 0.49146540786524 0.509481121028043 28 29 1.07951916639432
zf_shared CHAVO 0.50888591787078 0.516753570829808 0.526271924537954 0.431010354480815 0.438678332098959 0.448768857530891 29 30 1.0469701652306
zf_shared BALRE 0.43808693115018 0.445691290964665 0.45378721154886 0.403597357729682 0.411021080830712 0.419373173356327 30 31 1.04187997177281
zf_shared OPHHO 0.603741206392006 0.615344392272075 0.623910253307855 0.478257759365995 0.487127064890598 0.514879460593497 31 32 1.11271305142143
zf_shared TAUER 0.491813431733349 0.501685563558354 0.511717940922921 0.413951440712494 0.422540332094759 0.435812773104659 32 33 1.05981840969869
zf_shared CHLMA 0.457017045651222 0.4646851432267 0.471898773610817 0.388047618542356 0.396251398132736 0.411125010846096 33 34 1.06749278379261
zf_shared CUCCA 0.399209414721555 0.407578148001409 0.417275691177005 0.364499262129787 0.37191589738434 0.380064306530465 34 35 1.04323752714075
zf_shared CHAPE 0.47448886708406 0.486877370532564 0.495930057852516 0.380247228865925 0.388097824587069 0.399411452347295 35 36 1.05430411378006
zf_shared CALAN 0.413144489328873 0.420316869429344 0.429010708116863 0.378216991296306 0.38613709881385 0.394089020255723 36 37 1.04226740983908
zf_shared ANTCA 0.446222456613429 0.455527179351918 0.463428112363673 0.371007845529148 0.379979292952771 0.394562987767081 37 38 1.06764334856397
zf_shared PTEGU 0.475184592292349 0.483859359550777 0.493690520336992 0.409105416343261 0.416871556155368 0.424963094061607 38 39 1.04251984994596
zf_shared MESUN 0.423410006478812 0.430856869489955 0.440868741555405 0.406163813460667 0.414004865555393 0.421943726644913 39 40 1.04049364102015
zf_shared COLLI 0.419960762833368 0.429828357746527 0.437569279202026 0.387150248076454 0.394340811041567 0.401298258540079 40 41 1.03724330239911
zf_shared PHORU 0.545252122031234 0.55309340706954 0.563848101218333 0.507044823430664 0.515798904790529 0.524694836128704 41 42 1.04666171765109
zf_shared PODCR 0.513037073149164 0.521354307205892 0.530936877167729 0.419244911863262 0.42830733129627 0.444354708892926 42 43 1.07146431496748
zf_shared GALGA 0.512784364039088 0.523309344237081 0.533559596070595 0.453805063020316 0.464675701396702 0.488637981459022 43 44 1.10192815214695
zf_shared MELGA 0.38188796561505 0.394439950034404 0.407881149903227 0.358924537165605 0.368716091429926 0.378593857131343 44 45 1.05226690600677
zf_shared ANAPL 0.47052566733207 0.483312172186689 0.491014712442667 0.410001900638612 0.420041748391428 0.436357198378008 45 46 1.07239283269183
zf_shared TINGU 0.534255888483215 0.541821302371035 0.553070094588751 0.45179523944928 0.461681980651071 0.473909270717395 46 47 1.05812679395366
zf_shared STRCA 0.417943057523579 0.429262863151461 0.437543556311682 0.41581561008144 0.423340475670169 0.431059813104173 47 48 1.04021482132259
